,BR:MCF7,BR:MDA-MB-231,BR:HS 578T,BR:BT-549,BR:T-47D,CNS:SF-268,CNS:SF-539,CNS:SNB-19,CNS:SNB-75,CNS:U251,CO:COLO 205,CO:HCC-2998,CO:HCT-116,CO:HCT-15,CO:HT29,CO:KM12,CO:SW-620,LE:CCRF-CEM,LE:HL-60(TB),LE:K-562,LE:MOLT-4,LE:RPMI-8226,LE:SR,ME:LOX IMVI,ME:MALME-3M,ME:M14,ME:SK-MEL-2,ME:SK-MEL-28,ME:SK-MEL-5,ME:UACC-257,ME:UACC-62,ME:MDA-MB-435,ME:MDA-N,LC:A549/ATCC,LC:EKVX,LC:HOP-62,LC:HOP-92,LC:NCI-H226,LC:NCI-H23,LC:NCI-H322M,LC:NCI-H460,LC:NCI-H522,OV:IGROV1,OV:OVCAR-3,OV:OVCAR-4,OV:OVCAR-5,OV:OVCAR-8,OV:SK-OV-3,OV:NCI/ADR-RES,PR:PC-3,PR:DU-145,RE:786-0,RE:A498,RE:ACHN,RE:CAKI-1,RE:RXF 393,RE:SN12C,RE:TK-10
BR:MCF7,0.0,0.6590069670799351,0.6441100748716442,0.7899525500446422,0.6978327588737955,0.6959684923405014,0.6334959329666854,0.7356642141537647,0.6653071496965867,0.8434562899778169,0.7486050434728962,0.7165216557564804,0.7328084619530005,0.7547013744777139,0.7509414165366891,0.7331630828412261,0.7941946439598634,0.7789139940871563,0.7803402227429014,0.7950578938652062,0.8179746430669103,0.8441360328964359,0.7563259764661582,0.8634883963332035,0.7880755896663393,0.7984927722834072,0.7571225594643235,0.721127040745869,0.8071774375416221,0.732183160829817,0.7801892013591804,0.7463690672218786,0.666048151358105,0.6838902955975438,0.5517180866033212,0.588394156518428,0.6427611500508316,0.704865376038554,0.6913674445866916,0.6996690900423848,0.7140050585798763,0.7019496370846507,0.7085118059727923,0.681079658098678,0.6797414632174695,0.6421313541347319,0.6787499830885599,0.6515080559951842,0.7123556776817049,0.645132135798552,0.6011322896789988,0.675132500238885,0.6659456006201471,0.6447779386590473,0.6487402986123946,0.6085104278003653,0.6395886945608437,0.6490430253002549
BR:MDA-MB-231,0.6590069670799351,0.0,0.6402692322744798,0.883948805617582,0.7298165132995431,0.7043003779225994,0.6769496330316345,0.6592013483758158,0.6828165304197498,0.9496539131818329,0.8711998922864029,0.8421417787926054,0.878505671445438,0.8922455898866308,0.8559973995950392,0.848809527284396,0.8899163181188707,0.8833745588194516,0.8633116288410312,0.8970897703446274,0.8933455626671941,0.9432778837958338,0.8105604505171393,0.9232378805239944,0.8254012852357492,0.8580799848535325,0.7876354178071713,0.7718026905371376,0.8514631744002595,0.7331253533801753,0.8260417793939151,0.7906051001962269,0.7260017973363191,0.736370766955883,0.6458816971182764,0.6938871698450378,0.6849285858974741,0.7803647293334381,0.7821818551495637,0.7641421044522132,0.7867281696742591,0.765300081949862,0.771347881416043,0.7482371218703043,0.7805290094089399,0.7239441056576119,0.7588832685962843,0.7061992278914662,0.7758308149762061,0.7620484750655943,0.671436965764216,0.7147616653007516,0.7187052046972577,0.6972016854459009,0.6460134785741898,0.696844878397422,0.7393924379968388,0.6910316205608946
BR:HS 578T,0.6441100748716442,0.6402692322744798,0.0,0.8187644494746149,0.7043163136913507,0.7060105342855103,0.6595419485585803,0.6873738777172149,0.6526207628279116,0.8983901428976536,0.8069253076332298,0.7809050184508277,0.7941025356563367,0.8239640412454112,0.806628493106879,0.7878128656716137,0.8298673353509712,0.8267437420685395,0.8167644291470028,0.8191662355500262,0.8478829694420326,0.8751801060564687,0.7754994008190779,0.8978180846273575,0.802394602454028,0.8367122955392922,0.7790906492355687,0.7464496192216413,0.8313450404602489,0.7363096975249606,0.80577024788808,0.7624567310041513,0.7007825903319957,0.7084348470699687,0.6381585624540995,0.6660668450639984,0.6556623699325094,0.7083415874346384,0.7450183768307679,0.7269513350991949,0.755778938296208,0.7355713204288513,0.719304569341591,0.7182313334882402,0.7499215198226952,0.6693997558050715,0.7203693420287107,0.6825101411104535,0.7256143230953764,0.7048109910398543,0.6536943355303982,0.7026047432550298,0.7177171244224024,0.6616458335008453,0.6573735281178185,0.6744463116219969,0.690809308545095,0.6958171481100066
BR:BT-549,0.7899525500446422,0.883948805617582,0.8187644494746149,0.0,0.8420265995834928,0.8347704629024707,0.8150973706291398,0.8509537551330487,0.8042046088927411,0.8495372114550005,0.7541232767038706,0.7548923192050986,0.7292293841045755,0.772232434177179,0.7819055506521232,0.7637513811865684,0.8747082020283713,0.8760281456035092,0.865382706037491,0.8713392355903853,0.880728302938495,0.9153729861158356,0.8866705721408887,0.9061709525655505,0.8738296100044532,0.8896732546217516,0.8573565512913727,0.7955854287254883,0.8641000423401215,0.8376341198266276,0.8715103267521499,0.8469118936258824,0.7862980515913942,0.768183945053031,0.7766640245796523,0.8048488025100551,0.83601492533497,0.7611414832338582,0.7365506466770638,0.799339619537759,0.8131358572297807,0.8120263711278566,0.7770845045000804,0.7721673370555132,0.8129164736723161,0.8048949123174426,0.8048528061667718,0.7958893467270575,0.8335155885604921,0.7651661525737937,0.8101505395768028,0.8287135085407163,0.83538724673785,0.8149264163440647,0.855045228719787,0.8095677928599142,0.8074358871427726,0.8348724012727272
BR:T-47D,0.6978327588737955,0.7298165132995431,0.7043163136913507,0.8420265995834928,0.0,0.7125728675194744,0.6883489026282584,0.6977794268343728,0.7419299415176571,0.9343842221415478,0.8335752752573485,0.7656134612939679,0.7748098137137467,0.8569324177544502,0.8600452466676951,0.814341119163399,0.9019225759692879,0.9108365975343317,0.9395673945545943,0.8889434691552061,0.9183413227455548,0.8508367724899439,0.7486026399627528,0.8479845489964146,0.7884447245775085,0.8022737227216608,0.8004047110929157,0.7512216290252619,0.809706815032988,0.7810136684422023,0.7973456840911789,0.8042275979607058,0.804426620244348,0.7585760399300879,0.6818139250236676,0.7676550552613475,0.7182280446989002,0.7526179868511215,0.8043324993589238,0.7959258605115171,0.8275311460143283,0.8487075767290722,0.8059508730815121,0.8023006070921292,0.7858431633804913,0.702931856902865,0.7461951381187008,0.7704538870066611,0.7412624845498323,0.7706382000800515,0.701549737922642,0.7809058864695032,0.7849687603888279,0.7482757409504508,0.7622444439524368,0.7108528344729232,0.7452006664082459,0.7257443387599913
CNS:SF-268,0.6959684923405014,0.7043003779225994,0.7060105342855103,0.8347704629024707,0.7125728675194744,0.0,0.6630651872480612,0.6877050357627125,0.645372475326608,0.8124154881341759,0.7751873573694419,0.7729866968045197,0.8216999184015239,0.8352022326621394,0.7713610779627684,0.8044165995900372,0.8802170283851027,0.8446047634608465,0.841132404242308,0.8701854809426424,0.8592903307561621,0.8765321797435508,0.7023394483917604,0.854598059676647,0.8142301795090348,0.8208434340015686,0.7759428956339326,0.7468891162450721,0.8376063553217123,0.7241355828200354,0.7874300843049041,0.7699321187712942,0.727051875038223,0.7220101581151416,0.6346249913340989,0.7123313494863445,0.7007581970428671,0.7504757556708588,0.7681892021055857,0.7494149483700507,0.8213707589746803,0.7961231806293887,0.7529015526222111,0.7950930029731209,0.8090435882349626,0.7817683600400862,0.7914946682205016,0.7472837052038084,0.7346894200980744,0.7722087761647323,0.6985917908906808,0.7042909867127859,0.7618408122358644,0.6707403814462638,0.7441699085540704,0.7347792822730577,0.7661503732268781,0.7612276373856044
CNS:SF-539,0.6334959329666854,0.6769496330316345,0.6595419485585803,0.8150973706291398,0.6883489026282584,0.6630651872480612,0.0,0.6474358114322606,0.5014635672849005,0.8747625622243075,0.7939341689111242,0.7581694909121718,0.7756950692948634,0.8154123026459181,0.7828027444111322,0.7588444987627894,0.8001613714554322,0.8120975609836941,0.8221987461468454,0.7940646015757202,0.8332574924804057,0.8589015179135214,0.7828067540977534,0.8525697064675033,0.7658616001671306,0.7929973304308537,0.7485600172507102,0.7170543313115716,0.7873749621421363,0.6915912957843838,0.7637025503271078,0.7479519217789755,0.674817904927491,0.6967532436104742,0.6050486680052112,0.6626311700278115,0.68980222552505,0.711368940688317,0.7104247205168754,0.6854696396668553,0.7241074683365827,0.7088530945371293,0.6944270257638453,0.6924816727247455,0.7288993979629688,0.690143558682445,0.6936177133913525,0.6863209068900893,0.7375319883716943,0.702270769232903,0.6330415535216681,0.6706264360254865,0.7143156549284891,0.6763160893572115,0.6745690453990987,0.6686092725087003,0.6947585961528646,0.6918623689680135
CNS:SNB-19,0.7356642141537647,0.6592013483758158,0.6873738777172149,0.8509537551330487,0.6977794268343728,0.6877050357627125,0.6474358114322606,0.0,0.6773932274737428,0.9391898644833644,0.8528301334459721,0.815202441311335,0.8380839966611399,0.8774712989781142,0.8598893496646063,0.8267125418279461,0.8956108136021411,0.904832894132657,0.9216307445981141,0.8909400336115745,0.9096206212921177,0.8944268928102815,0.8076275119507641,0.8250230329948762,0.7514987752869983,0.8094457410365147,0.7643957437918671,0.7570025387207825,0.7955285377291714,0.7197868024670939,0.7800998646958109,0.7723097714718825,0.7874020513006479,0.7449213280448747,0.7045253264788479,0.7233384488861274,0.7333940240162409,0.7638905004820062,0.806391864700088,0.7696640914728312,0.8207179252705225,0.81863006660535,0.7926486405329128,0.781732988884005,0.789291649499421,0.7713391929616694,0.7779040390270459,0.7757501314103176,0.7826375391131124,0.7943820764982455,0.7228460963132523,0.7361729081143684,0.7898086773103832,0.7423372391301077,0.7083675692797112,0.7678422351137569,0.7721550786309371,0.7532725764434675
CNS:SNB-75,0.6653071496965867,0.6828165304197498,0.6526207628279116,0.8042046088927411,0.7419299415176571,0.645372475326608,0.5014635672849005,0.6773932274737428,0.0,0.8334085533522129,0.7870253734896566,0.7732248835606594,0.8086218602795332,0.8258342360570822,0.7442520057034305,0.7600653564060966,0.8098297816993171,0.805064541831871,0.7601611611193559,0.8016587612567458,0.8187466820259603,0.8957995000746957,0.7789286503071041,0.8855527962434635,0.8122558449006412,0.8212802838261407,0.7539485343398156,0.7320289101652268,0.8204457020215834,0.6895155697584467,0.7974968031320272,0.7453271789580775,0.6305281211869195,0.6718748681719989,0.6165951368504884,0.6515178216446144,0.6610734664930888,0.7249266925306234,0.6851431248236918,0.6748852348951684,0.7388673986304457,0.6903175573000818,0.672998369124455,0.7062634894691191,0.7483808720247218,0.721128613380003,0.7441164805277872,0.6599562942631039,0.7439353437894167,0.7015513781242964,0.6683016373318943,0.6792840764214104,0.6966648289121915,0.6598813310202836,0.6722908185086491,0.6960760289605828,0.7294808913630965,0.7177407370216448
CNS:U251,0.8434562899778169,0.9496539131818329,0.8983901428976536,0.8495372114550005,0.9343842221415478,0.8124154881341759,0.8747625622243075,0.9391898644833644,0.8334085533522129,0.0,0.6936643117010652,0.8145646818045733,0.8122885494009391,0.7790306908573336,0.6594904240704661,0.7817105958612794,0.9351477057618581,0.8725031150589357,0.8826146462864559,0.9332802449900482,0.8953301952503954,0.9691435220417276,0.8477438015846823,0.9535273675993646,0.9685664333854646,0.9582775061431638,0.9014833320036182,0.8730408689674067,0.9532157203212394,0.893321019276202,0.9228024995515217,0.890760273435197,0.8261465912744493,0.8242460365251353,0.8281457221795554,0.8729588559147047,0.8787184476644544,0.8628952030816635,0.7950673934509481,0.8641532737101868,0.9402274620414695,0.8757741887353165,0.8205261311255545,0.8780327834411057,0.8889605362633669,0.9260319775507363,0.917053389843313,0.8847331115441244,0.8627845369321799,0.8723220681002025,0.8691839427918504,0.8760758545059414,0.9069645402956088,0.8237903127938163,0.9304192273240411,0.8995207991831069,0.883797125601292,0.9217987907814547
